*Maria Christina* - Direito Tributário I - VIDEO 1 sem tema

*Maria Christina* - Direito Tributário I - VIDEO 2 sem tema

*Maria Christina* - Direito Tributário I - VIDEO 3 sem tema

*Maria Christina* - Direito Tributário II - VIDEO 1 sem tema

*Maria Christina* - Direito Tributário II - VIDEO 2 sem tema

*Maria Christina* - Direito Tributário II - VIDEO 3 sem tema

*Fernanda* - Direito do Consumidor - VIDEO 2 sem tema

*Fernanda* - Direito do Consumidor - VIDEO 6 sem tema

*Camila* - Métodos Consensuais de Solução dos Conflitos - VIDEO 1 sem tema

*Camila* - Métodos Consensuais de Solução dos Conflitos - VIDEO 2 sem tema

*Camila* - Métodos Consensuais de Solução dos Conflitos - VIDEO 3 sem tema

*João Aragão* - Direito Eleitoral e Partidário - VIDEO 2 sem tema

*Sirlei* - Direito Cibernético - VIDEO 1 sem tema

*Maria Christina* - Prática Jurídica III (Tributário) - VIDEO 1 sem tema

*Maria Christina* - Prática Jurídica III (Tributário) - VIDEO 2 sem tema

*Maria Christina* - Prática Jurídica III (Tributário) - VIDEO 3 sem tema

*Maria Christina* - Prática Jurídica III (Tributário) - VIDEO 4 sem tema

*Maria Christina* - Prática Jurídica IV (Tributário) - VIDEO 1 sem tema

*Maria Christina* - Prática Jurídica IV (Tributário) - VIDEO 2 sem tema

*Maria Christina* - Prática Jurídica IV (Tributário) - VIDEO 3 sem tema

*Ana Carolina* - Prática Jurídica IV (Civil) - VIDEO 1 sem tema

*Ana Carolina* - Prática Jurídica IV (Civil) - VIDEO 2 sem tema

*Ana Carolina* - Prática Jurídica IV (Civil) - VIDEO 3 sem tema

